dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,pk,pii,classification,sqlDataType,columnSize,definedBy,ordinalPosition,idx,V3
OracleTest,CUSTOMER,PERSON,PERSON,EMAIL,Column,VARCHAR2,TRUE,,true,EMAIL,12,200,STRING,4,,
OracleTest,CUSTOMER,PERSON,PERSON,FIRST_NAME,Column,VARCHAR2,TRUE,,true,FIRST_NAME,12,100,STRING,2,,
OracleTest,CUSTOMER,PERSON,PERSON,LAST_NAME,Column,VARCHAR2,TRUE,,true,LAST_NAME,12,100,STRING,3,,
OracleTest,CUSTOMER,PERSON,PERSON,PERSON_ID,Column,RAW,FALSE,true,,,-3,16,BYTES,1,true,
OracleTest,CUSTOMER,STUDENT,STUDENT,ADDRESS2,Column,VARCHAR2,TRUE,,true,ADDRESS,12,200,STRING,4,,
OracleTest,CUSTOMER,STUDENT,STUDENT,FIRST_NAME,Column,VARCHAR2,TRUE,,true,FIRST_NAME,12,50,STRING,2,,
OracleTest,CUSTOMER,STUDENT,STUDENT,LAST_NAME1,Column,VARCHAR2,TRUE,,true,NAME,12,50,STRING,3,,
OracleTest,CUSTOMER,STUDENT,STUDENT,STUDENT_ID1,Column,NUMBER,TRUE,,,,2,10,REAL,1,,
OracleTest,CUSTOMER,STUDENTBOV,STUDENTBOV,AGE,Column,NUMBER,TRUE,,true,AGE,2,38,REAL,3,,
OracleTest,CUSTOMER,STUDENTBOV,STUDENTBOV,EMAIL,Column,VARCHAR2,TRUE,,true,EMAIL,12,100,STRING,5,,
OracleTest,CUSTOMER,STUDENTBOV,STUDENTBOV,GRADE,Column,VARCHAR2,TRUE,,,,12,10,STRING,4,,
OracleTest,CUSTOMER,STUDENTBOV,STUDENTBOV,NAME,Column,VARCHAR2,TRUE,,true,NAME,12,50,STRING,2,,
OracleTest,CUSTOMER,STUDENTBOV,STUDENTBOV,TABLE_NAME,Column,VARCHAR2,TRUE,,true,NAME,12,20,STRING,1,,
OracleTest,CUSTOMER,STUDENTSIMP,STUDENTSIMP,AGE,Column,NUMBER,TRUE,,true,AGE,2,38,REAL,2,,
OracleTest,CUSTOMER,STUDENTSIMP,STUDENTSIMP,EMAIL,Column,VARCHAR2,TRUE,,true,EMAIL,12,100,STRING,4,,
OracleTest,CUSTOMER,STUDENTSIMP,STUDENTSIMP,GRADE,Column,VARCHAR2,TRUE,,,,12,10,STRING,3,,
OracleTest,CUSTOMER,STUDENTSIMP,STUDENTSIMP,NAME,Column,VARCHAR2,TRUE,,true,NAME,12,50,STRING,1,,
OracleTest,CUSTOMER,USERS_TEST,USERS_TEST,EMAIL,Column,VARCHAR2,FALSE,,true,EMAIL,12,255,STRING,2,true,
OracleTest,CUSTOMER,USERS_TEST,USERS_TEST,EMAIL2,Column,CHAR,TRUE,,true,EMAIL,1,50,STRING,3,,
OracleTest,CUSTOMER,USERS_TEST,USERS_TEST,USER_ID,Column,NUMBER,FALSE,true,,,2,0,REAL,1,true,
,,,,,,,,,,,,,,,,
