dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_OPERATION_NAME,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,OTHER_NAMES,Column,NVARCHAR,TRUE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,COUNTRY_OF_BIRTH_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_BUILDING_NAME,Column,NVARCHAR,TRUE,36,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_BFPO_ADDRESS_RANK,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,MODIFIED_ON,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,WORK_TELEPHONE_NUMBER,Column,NVARCHAR,TRUE,20,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,NI_NUMBER,Column,NVARCHAR,TRUE,9,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_POST_CODE,Column,NVARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_BUILDING_NUMBER,Column,NVARCHAR,TRUE,5,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_UNIT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE4,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_COUNTRY_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,ELECTRONIC_IDENTIFICATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,MIDDLE_NAME,Column,NVARCHAR,TRUE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,SURNAME,Column,NVARCHAR,FALSE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,DIALING_CODE_MOBILE,Column,CHAR,TRUE,4,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,COLLEAGUE_STAFF_NUMBER,Column,VARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_ADDRESS_SAME_AS_SECURITY_ADDRESS,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,OWNER_ID,Column,VARBINARY/BLOB,FALSE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,COUNTRY_ID,Column,VARBINARY/BLOB,FALSE,18,,TRUE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,MODIFIED_BY,Column,VARBINARY/BLOB,FALSE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,CREATED_BY,Column,VARBINARY/BLOB,FALSE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,RECORD_STATUS_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,DIALING_CODE,Column,NVARCHAR,TRUE,6,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,COUNTRY_CODE,Column,NVARCHAR,TRUE,3,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,MODIFIED_ON,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,RECORD_UPDATE_REASON_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,CREATED_ON,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,COUNTRY_NAME,Column,NVARCHAR,FALSE,100,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,SAVINGS_RESTRICTED,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,MORTGAGE_RESTRICTED,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,country,lbs_country,HIGH_RISK_JURISDICTION,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,INVITE_STATUS_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,DOMAIN_NAME,Column,NVARCHAR,TRUE,1024,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,AZURE_ACTIVE_DIRECTORY_OBJECT_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
